season,week,celebrity_name,weight_audience,weight_judge,combined_score_adaptive,adaptive_rank,pred_eliminated_adaptive,judge_total_score
1,1,Joey McIntyre,0.5848283639957513,0.41517163600424867,0.17601450536897642,1.0,0,20.0
1,1,John O'Hurley,0.5848283639957513,0.41517163600424867,0.17601450536897642,1.0,0,20.0
1,1,Rachel Hunter,0.5848283639957513,0.41517163600424867,0.17601450536897642,1.0,0,20.0
1,1,Evander Holyfield,0.5848283639957513,0.41517163600424867,0.16813887080320933,4.0,0,18.0
1,1,Trista Sutter,0.5848283639957513,0.41517163600424867,0.16012517435571427,5.0,0,18.0
1,1,Kelly Monaco,0.5848283639957513,0.41517163600424867,0.14369243873376628,6.0,0,13.0
1,2,John O'Hurley,0.5635148952387288,0.4364851047612712,0.18672002766228218,1.0,0,26.0
1,2,Joey McIntyre,0.5635148952387288,0.4364851047612712,0.181379044596662,2.0,0,21.0
1,2,Rachel Hunter,0.5635148952387288,0.4364851047612712,0.17615289614626775,3.0,0,24.0
1,2,Trista Sutter,0.5635148952387288,0.4364851047612712,0.16417531737196792,4.0,0,19.0
1,2,Evander Holyfield,0.5635148952387288,0.4364851047612712,0.14643515191660406,6.0,1,14.0
1,2,Kelly Monaco,0.5635148952387288,0.4364851047612712,0.1451375623058554,6.0,0,17.0
1,3,Rachel Hunter,0.5244918662403709,0.4755081337596291,0.22495384061276535,1.0,0,26.0
1,3,John O'Hurley,0.5244918662403709,0.4755081337596291,0.22291443874858624,2.0,0,24.0
1,3,Joey McIntyre,0.5244918662403709,0.4755081337596291,0.21350803349413866,3.0,0,22.0
1,3,Kelly Monaco,0.5244918662403709,0.4755081337596291,0.17886357142514142,4.0,0,21.0
1,3,Evander Holyfield,0.5244918662403709,0.4755081337596291,0.15976011571891968,5.0,1,13.0
1,4,Rachel Hunter,0.4755081337596291,0.5244918662403709,0.27159184513135076,1.0,0,25.0
1,4,John O'Hurley,0.4755081337596291,0.5244918662403709,0.2545089238442031,2.0,0,21.0
1,4,Kelly Monaco,0.4755081337596291,0.5244918662403709,0.2409022643492476,3.0,0,26.0
1,4,Joey McIntyre,0.4755081337596291,0.5244918662403709,0.2329969666746284,4.0,1,20.0
1,5,John O'Hurley,0.4364851047612713,0.5635148952387288,0.36443829308653986,1.0,0,27.0
1,5,Joey McIntyre,0.4364851047612713,0.5635148952387288,0.3206526361354655,3.0,1,22.5
1,5,Kelly Monaco,0.4364851047612713,0.5635148952387288,0.31490907077722274,3.0,0,23.5
1,6,Kelly Monaco,0.4151716360042487,0.5848283639957512,0.5008258042800684,1.0,0,27.5
1,6,John O'Hurley,0.4151716360042487,0.5848283639957512,0.49917419571885846,2.0,1,27.0
2,1,Stacy Keibler,0.5848283639957513,0.41517163600424867,0.10838821927376319,1.0,0,22.0
2,1,Giselle Fernandez,0.5848283639957513,0.41517163600424867,0.10751818477117923,2.0,0,23.0
2,1,Tatum O'Neal,0.5848283639957513,0.41517163600424867,0.10751818477117923,2.0,0,23.0
2,1,Drew Lachey,0.5848283639957513,0.41517163600424867,0.1066481502685953,4.0,0,24.0
2,1,Lisa Rinna,0.5848283639957513,0.41517163600424867,0.10262473343661693,5.0,0,19.0
2,1,Tia Carrere,0.5848283639957513,0.41517163600424867,0.10242696708302981,6.0,0,20.0
2,1,Jerry Rice,0.5848283639957513,0.41517163600424867,0.10222920072944267,7.0,0,21.0
2,1,George Hamilton,0.5848283639957513,0.41517163600424867,0.09454314573885152,8.0,0,18.0
2,1,Kenny Mayne,0.5848283639957513,0.41517163600424867,0.08664452316628908,9.0,0,13.0
2,1,Master P,0.5848283639957513,0.41517163600424867,0.08145869076084016,10.0,1,12.0
2,2,Drew Lachey,0.5712802062503081,0.42871979374969194,0.11933189190827245,1.0,0,27.0
2,2,Giselle Fernandez,0.5712802062503081,0.42871979374969194,0.11803359525349033,2.0,0,24.0
2,2,Stacy Keibler,0.5712802062503081,0.42871979374969194,0.1179062877831313,3.0,0,29.0
2,2,Jerry Rice,0.5712802062503081,0.42871979374969194,0.11703257853367902,4.0,0,23.0
2,2,Tia Carrere,0.5712802062503081,0.42871979374969194,0.11640460278466358,5.0,0,22.0
2,2,George Hamilton,0.5712802062503081,0.42871979374969194,0.11146290574711509,6.0,0,22.0
2,2,Tatum O'Neal,0.5712802062503081,0.42871979374969194,0.10921668181453313,7.0,0,17.0
2,2,Lisa Rinna,0.5712802062503081,0.42871979374969194,0.10189620630903362,8.0,0,20.0
2,2,Master P,0.5712802062503081,0.42871979374969194,0.08871524986586717,9.0,1,16.0
2,3,Tia Carrere,0.5489736991337367,0.4510263008662633,0.13595137461541223,1.0,0,26.0
2,3,Drew Lachey,0.5489736991337367,0.4510263008662633,0.13541320209737867,2.0,0,27.0
2,3,Stacy Keibler,0.5489736991337367,0.4510263008662633,0.13541320209737867,2.0,0,27.0
2,3,Giselle Fernandez,0.5489736991337367,0.4510263008662633,0.13088297120284717,4.0,0,22.0
2,3,Lisa Rinna,0.5489736991337367,0.4510263008662633,0.1275710768793522,5.0,0,25.0
2,3,George Hamilton,0.5489736991337367,0.4510263008662633,0.12411914815346647,6.0,0,22.0
2,3,Jerry Rice,0.5489736991337367,0.4510263008662633,0.11691761027419612,7.0,0,19.0
2,3,Master P,0.5489736991337367,0.4510263008662633,0.09373141467972071,8.0,1,14.0
2,4,Stacy Keibler,0.5176697249629436,0.4823302750370564,0.1602058756357902,1.0,0,26.0
2,4,Drew Lachey,0.5176697249629436,0.4823302750370564,0.159758540826396,2.0,0,28.0
2,4,Tia Carrere,0.5176697249629436,0.4823302750370564,0.1588699741035962,3.0,0,25.0
2,4,Lisa Rinna,0.5176697249629436,0.4823302750370564,0.15819075907643715,4.0,0,26.0
2,4,Jerry Rice,0.5176697249629436,0.4823302750370564,0.14134777034014545,5.0,0,24.0
2,4,George Hamilton,0.5176697249629436,0.4823302750370564,0.13037132154522385,6.0,0,21.0
2,4,Master P,0.5176697249629436,0.4823302750370564,0.0912557584721059,7.0,1,8.0
2,5,Stacy Keibler,0.48233027503705644,0.5176697249629436,0.18991728386928058,1.0,0,30.0
2,5,Drew Lachey,0.48233027503705644,0.5176697249629436,0.17795787417484948,2.0,0,27.0
2,5,Lisa Rinna,0.48233027503705644,0.5176697249629436,0.1749830124830728,3.0,0,25.0
2,5,Tia Carrere,0.48233027503705644,0.5176697249629436,0.15735889909038442,4.0,0,22.0
2,5,George Hamilton,0.48233027503705644,0.5176697249629436,0.1514258293260079,5.0,0,24.0
2,5,Jerry Rice,0.48233027503705644,0.5176697249629436,0.14835710105606204,6.0,1,23.0
2,6,Stacy Keibler,0.45102630086626333,0.5489736991337366,0.22832889536469955,1.0,0,30.0
2,6,Drew Lachey,0.45102630086626333,0.5489736991337366,0.2244419982080736,2.0,0,30.0
2,6,Lisa Rinna,0.45102630086626333,0.5489736991337366,0.204080079226384,3.0,0,27.0
2,6,George Hamilton,0.45102630086626333,0.5489736991337366,0.1728993324425894,4.0,0,23.0
2,6,Jerry Rice,0.45102630086626333,0.5489736991337366,0.17024969475784069,5.0,1,23.0
2,7,Stacy Keibler,0.42871979374969205,0.571280206250308,0.27855247291664875,1.0,0,27.5
2,7,Drew Lachey,0.42871979374969205,0.571280206250308,0.273308493390235,2.0,0,27.5
2,7,Lisa Rinna,0.42871979374969205,0.571280206250308,0.2562327447456923,3.0,0,26.5
2,7,Jerry Rice,0.42871979374969205,0.571280206250308,0.19190628894686396,4.0,1,20.5
2,8,Stacy Keibler,0.4151716360042487,0.5848283639957512,0.41505221339759724,1.0,0,28.6665
2,8,Jerry Rice,0.4151716360042487,0.5848283639957512,0.18492645279968564,3.0,1,26.666600000000003
2,8,Drew Lachey,0.4151716360042487,0.5848283639957512,0.40002133380202365,3.0,1,28.9998
3,1,Vivica A. Fox,0.5848283639957513,0.41517163600424867,0.09785985249140536,1.0,0,22.0
3,1,Willa Ford,0.5848283639957513,0.41517163600424867,0.09785985249140536,1.0,0,22.0
3,1,Emmitt Smith,0.5848283639957513,0.41517163600424867,0.09625931732156862,3.0,0,24.0
3,1,Joey Lawrence,0.5848283639957513,0.41517163600424867,0.09487163672394106,4.0,0,21.0
3,1,Mario Lopez,0.5848283639957513,0.41517163600424867,0.0946587821517319,5.0,0,26.0
3,1,Monique Coleman,0.5848283639957513,0.41517163600424867,0.09429845370914938,6.0,0,19.0
3,1,Shanna Moakler,0.5848283639957513,0.41517163600424867,0.09383700500230431,7.0,0,18.0
3,1,Harry Hamlin,0.5848283639957513,0.41517163600424867,0.08980728251514103,8.0,0,17.0
3,1,Jerry Springer,0.5848283639957513,0.41517163600424867,0.08315572042564816,9.0,0,16.0
3,1,Tucker Carlson,0.5848283639957513,0.41517163600424867,0.0789191386546513,11.0,1,12.0
3,1,Sara Evans,0.5848283639957513,0.41517163600424867,0.07847295851285767,11.0,0,15.0
3,2,Monique Coleman,0.5749679200850006,0.42503207991499936,0.10803968777023945,1.0,0,26.0
3,2,Mario Lopez,0.5749679200850006,0.42503207991499936,0.10737689788967536,2.0,0,21.0
3,2,Emmitt Smith,0.5749679200850006,0.42503207991499936,0.10640993312033614,3.0,0,24.0
3,2,Willa Ford,0.5749679200850006,0.42503207991499936,0.10629286393388496,4.0,0,23.0
3,2,Joey Lawrence,0.5749679200850006,0.42503207991499936,0.10608400289829789,5.0,0,29.0
3,2,Vivica A. Fox,0.5749679200850006,0.42503207991499936,0.09979858650511299,6.0,0,24.0
3,2,Shanna Moakler,0.5749679200850006,0.42503207991499936,0.09879663445496428,7.0,0,22.0
3,2,Harry Hamlin,0.5749679200850006,0.42503207991499936,0.09295386477083308,8.0,0,21.0
3,2,Sara Evans,0.5749679200850006,0.42503207991499936,0.09211284612565523,9.0,0,21.0
3,2,Jerry Springer,0.5749679200850006,0.42503207991499936,0.08213468253081596,10.0,1,19.0
3,3,Monique Coleman,0.5600829602692535,0.4399170397307465,0.12097934950417319,1.0,0,27.0
3,3,Mario Lopez,0.5600829602692535,0.4399170397307465,0.11757749571381648,2.0,0,22.0
3,3,Vivica A. Fox,0.5600829602692535,0.4399170397307465,0.11757136183046873,3.0,0,27.0
3,3,Joey Lawrence,0.5600829602692535,0.4399170397307465,0.11644967620504079,4.0,0,22.0
3,3,Sara Evans,0.5600829602692535,0.4399170397307465,0.11410371085787174,5.0,0,25.0
3,3,Willa Ford,0.5600829602692535,0.4399170397307465,0.11379266997811185,6.0,0,22.0
3,3,Harry Hamlin,0.5600829602692535,0.4399170397307465,0.11219443121167721,7.0,0,22.0
3,3,Emmitt Smith,0.5600829602692535,0.4399170397307465,0.1037804365183417,9.0,1,19.0
3,3,Jerry Springer,0.5600829602692535,0.4399170397307465,0.08355086818028581,9.0,0,21.0
3,4,Willa Ford,0.5394118567930815,0.46058814320691854,0.1384730902979932,1.0,0,28.0
3,4,Mario Lopez,0.5394118567930815,0.46058814320691854,0.1380749907343527,2.0,0,29.0
3,4,Joey Lawrence,0.5394118567930815,0.46058814320691854,0.13268984950072737,3.0,0,27.0
3,4,Monique Coleman,0.5394118567930815,0.46058814320691854,0.13171169981910133,4.0,0,24.0
3,4,Vivica A. Fox,0.5394118567930815,0.46058814320691854,0.13028340978038813,5.0,0,24.0
3,4,Emmitt Smith,0.5394118567930815,0.46058814320691854,0.12144098231405542,6.0,0,24.0
3,4,Sara Evans,0.5394118567930815,0.46058814320691854,0.1110118881765429,8.0,1,20.0
3,4,Jerry Springer,0.5394118567930815,0.46058814320691854,0.09631408937660633,8.0,0,22.0
3,5,Monique Coleman,0.5138002665136382,0.4861997334863618,0.16242512318197178,1.0,0,27.0
3,5,Mario Lopez,0.5138002665136382,0.4861997334863618,0.15506289939717122,2.0,0,27.0
3,5,Willa Ford,0.5138002665136382,0.4861997334863618,0.15472780901992259,3.0,0,27.0
3,5,Joey Lawrence,0.5138002665136382,0.4861997334863618,0.15015315231107534,4.0,0,25.0
3,5,Emmitt Smith,0.5138002665136382,0.4861997334863618,0.1481454473683647,5.0,0,27.0
3,5,Jerry Springer,0.5138002665136382,0.4861997334863618,0.10517927023803618,7.0,1,24.0
3,5,Sara Evans,0.5138002665136382,0.4861997334863618,0.12430629848318958,7.0,1,24.0
3,6,Mario Lopez,0.4861997334863619,0.5138002665136381,0.23620054428257786,1.0,0,28.0
3,6,Emmitt Smith,0.4861997334863619,0.5138002665136381,0.2123257216726715,2.0,0,25.0
3,6,Joey Lawrence,0.4861997334863619,0.5138002665136381,0.21130224663053004,3.0,0,24.0
3,6,Monique Coleman,0.4861997334863619,0.5138002665136381,0.20855381864357345,4.0,0,23.0
3,6,Jerry Springer,0.4861997334863619,0.5138002665136381,0.13161766877021172,5.0,0,18.0
3,7,Joey Lawrence,0.4605881432069186,0.5394118567930815,0.22811482466606775,1.0,0,28.5
3,7,Mario Lopez,0.4605881432069186,0.5394118567930815,0.22464680062417286,2.0,0,28.0
3,7,Emmitt Smith,0.4605881432069186,0.5394118567930815,0.21947652715361507,3.0,0,28.5
3,7,Monique Coleman,0.4605881432069186,0.5394118567930815,0.19640904381951263,4.0,0,27.0
3,7,Jerry Springer,0.4605881432069186,0.5394118567930815,0.13135280373623226,5.0,1,23.0
3,8,Mario Lopez,0.43991703973074653,0.5600829602692534,0.26976953338526377,1.0,0,28.5
3,8,Joey Lawrence,0.43991703973074653,0.5600829602692534,0.25970614682455084,2.0,0,27.0
3,8,Emmitt Smith,0.43991703973074653,0.5600829602692534,0.2515525676515813,3.0,0,27.0
3,8,Monique Coleman,0.43991703973074653,0.5600829602692534,0.21897175213809017,4.0,1,26.5
3,9,Joey Lawrence,0.42503207991499947,0.5749679200850005,0.33921771778456633,1.0,0,29.5
3,9,Mario Lopez,0.42503207991499947,0.5749679200850005,0.3364636430498845,2.0,0,29.5
3,9,Emmitt Smith,0.42503207991499947,0.5749679200850005,0.32431863916489945,3.0,1,29.5
3,10,Mario Lopez,0.4151716360042487,0.5848283639957512,0.5223432815107657,1.0,0,29.666600000000003
3,10,Emmitt Smith,0.4151716360042487,0.5848283639957512,0.47765671848824853,2.0,1,29.666600000000003
4,1,Laila Ali,0.5848283639957513,0.41517163600424867,0.09869930341571193,1.0,0,23.0
4,1,Joey Fatone,0.5848283639957513,0.41517163600424867,0.09787572706618328,2.0,0,24.0
4,1,Apolo Anton Ohno,0.5848283639957513,0.41517163600424867,0.09765572258551544,3.0,0,21.0
4,1,Ian Ziering,0.5848283639957513,0.41517163600424867,0.09765572258551544,3.0,0,21.0
4,1,Paulina Porizkova,0.5848283639957513,0.41517163600424867,0.09557947978810125,5.0,0,19.0
4,1,Shandi Finnessey,0.5848283639957513,0.41517163600424867,0.09557947978810125,5.0,0,19.0
4,1,John Ratzenberger,0.5848283639957513,0.41517163600424867,0.08951141879521954,7.0,0,17.0
4,1,Heather Mills,0.5848283639957513,0.41517163600424867,0.08930798913278186,8.0,0,18.0
4,1,Clyde Drexler,0.5848283639957513,0.41517163600424867,0.08274274424372915,9.0,0,16.0
4,1,Leeza Gibbons,0.5848283639957513,0.41517163600424867,0.07797996966158774,10.0,0,15.0
4,1,Billy Ray Cyrus,0.5848283639957513,0.41517163600424867,0.07741244293735156,11.0,0,13.0
4,2,Heather Mills,0.5749679200850006,0.42503207991499936,0.09878266892234887,1.0,0,24.0
4,2,Joey Fatone,0.5749679200850006,0.42503207991499936,0.09878266892234887,1.0,0,24.0
4,2,Apolo Anton Ohno,0.5749679200850006,0.42503207991499936,0.09755870288005455,3.0,0,26.0
4,2,Laila Ali,0.5749679200850006,0.42503207991499936,0.0969467198589074,4.0,0,27.0
4,2,Ian Ziering,0.5749679200850006,0.42503207991499936,0.09541939550796905,5.0,0,22.0
4,2,Shandi Finnessey,0.5749679200850006,0.42503207991499936,0.08877870104576366,6.0,0,20.0
4,2,John Ratzenberger,0.5749679200850006,0.42503207991499936,0.08874744393403167,7.0,0,21.0
4,2,Paulina Porizkova,0.5749679200850006,0.42503207991499936,0.08871711624144815,8.0,0,21.0
4,2,Leeza Gibbons,0.5749679200850006,0.42503207991499936,0.08798393163594104,9.0,0,21.0
4,2,Billy Ray Cyrus,0.5749679200850006,0.42503207991499936,0.08663870067988615,10.0,0,21.0
4,2,Clyde Drexler,0.5749679200850006,0.42503207991499936,0.07164395037112718,11.0,1,18.0
4,3,Heather Mills,0.5600829602692535,0.4399170397307465,0.11103149665338966,1.0,0,24.0
4,3,Joey Fatone,0.5600829602692535,0.4399170397307465,0.11016476933797495,2.0,0,24.0
4,3,Ian Ziering,0.5600829602692535,0.4399170397307465,0.10850210359608074,3.0,0,24.0
4,3,Leeza Gibbons,0.5600829602692535,0.4399170397307465,0.10775264528695616,4.0,0,24.0
