season,week,celebrity_name,vote_mean,vote_std,vote_ci_lower,vote_ci_upper,vote_ci_width,coefficient_of_variation,relative_ci_width
1,1,Evander Holyfield,681967.0895698637,7294.939761626994,668593.6416023942,696110.0777887884,27516.43618639419,0.01069690879984857,0.04034862767901248
1,1,Joey McIntyre,719382.9174572785,4156.719658253408,711820.2616004003,728256.1574466638,16435.895846263506,0.0057781739840941666,0.02284721453264085
1,1,John O'Hurley,719382.9174572785,4156.719658253408,711820.2616004003,728256.1574466638,16435.895846263506,0.0057781739840941666,0.02284721453264085
1,1,Kelly Monaco,569955.4952226811,10539.753140796034,549008.0254894741,589023.5221194488,40015.49662997469,0.01849223883117078,0.0702081074143178
1,1,Rachel Hunter,719382.9174572785,4156.719658253408,711820.2616004003,728256.1574466638,16435.895846263506,0.0057781739840941666,0.02284721453264085
1,1,Trista Sutter,653163.9568771935,8640.460291324962,636796.7453905599,668959.8942284434,32163.14883788349,0.013228623839924349,0.0492420754379298
1,2,Evander Holyfield,581566.6770465221,14942.835453048612,548704.9329193874,608494.7572613639,59789.82434197655,0.025694105324148873,0.10280820188257397
1,2,Joey McIntyre,734594.1605757329,13358.315176901231,708286.9806919448,762222.7751716396,53935.7944796948,0.01818461933652147,0.07342257449667583
1,2,John O'Hurley,770463.6967377454,15241.009982331809,741363.2579843001,802198.2788308982,60835.02084659808,0.01978160690356268,0.07895897120679708
1,2,Kelly Monaco,587017.6562338559,13249.75837737046,560853.4448716402,610643.8411683991,49790.3962967589,0.02257131150428638,0.08481924822534372
1,2,Rachel Hunter,724955.4437113939,12620.763221609068,701936.4317187757,750534.2557852336,48597.82406645792,0.01740901917640254,0.06703560127455889
1,2,Trista Sutter,664637.6597339282,11371.589519503816,644213.7538586516,686880.4413022156,42666.68744356395,0.017109457089831713,0.06419541056497542
1,3,Evander Holyfield,630997.8252206547,23194.965210886887,586689.2619726789,672459.2817195737,85770.01974689472,0.03675918407924116,0.1359275996187493
1,3,Joey McIntyre,851285.6599325489,13648.74228910747,826206.6912845689,879629.6113633523,53422.92007878341,0.016033093157224003,0.06275557382584872
1,3,John O'Hurley,889981.153663071,9827.226788750018,871942.2606364754,908560.96256072,36618.70192424464,0.011042061675466007,0.04114548018632285
1,3,Kelly Monaco,715381.2638241596,16425.37079650639,680456.4234562203,745750.1389727598,65293.71551653952,0.02296030330554441,0.09127121273417735
1,3,Rachel Hunter,900344.2933450744,13726.616098028651,874605.3845175188,928580.635844804,53975.251327285194,0.015245963349231404,0.05994956787780531
1,4,Joey McIntyre,915786.9263915806,12872.453104493592,891501.4816812834,940718.6508536014,49217.169172317954,0.014056166050780102,0.05374303536549202
1,4,John O'Hurley,1002764.654626108,16397.79464226759,971730.6657247345,1033329.162454429,61598.49672969442,0.016352585391416385,0.06142866767941887
1,4,Kelly Monaco,930279.1447499504,29138.49791825218,872604.4681424489,986566.5050581316,113962.03691568272,0.0313223166215172,0.12250305465712076
1,4,Rachel Hunter,1063914.372154209,20929.74633637696,1025846.355626253,1108412.9999464191,82566.6443201662,0.019672397407320012,0.07760647518369888
1,5,Joey McIntyre,1239419.1191347751,27887.771247721812,1185769.6223185966,1291811.2718185643,106041.6494999677,0.022500678597882174,0.08555753890096048
1,5,John O'Hurley,1395394.5520244637,35531.05899229786,1328888.323678402,1469889.266794276,141000.94311587396,0.025463091382110357,0.10104736535720828
1,5,Kelly Monaco,1202686.3286731825,24102.08935336032,1156316.012774378,1249675.7023526677,93359.68957828963,0.02004021229704176,0.07762596726387097
