season,week,celebrity_name,judge_rank,audience_rank,final_rank_alt,pred_eliminated_alt,judge_total_score
1,1,Joey McIntyre,1.0,1.0,1.0,0,20.0
1,1,John O'Hurley,1.0,1.0,1.0,0,20.0
1,1,Rachel Hunter,1.0,1.0,1.0,0,20.0
1,1,Evander Holyfield,4.0,4.0,4.0,0,18.0
1,1,Trista Sutter,4.0,5.0,5.0,0,18.0
1,1,Kelly Monaco,6.0,6.0,6.0,0,13.0
1,2,John O'Hurley,1.0,1.0,1.0,0,26.0
1,2,Rachel Hunter,2.0,3.0,2.0,0,24.0
1,2,Joey McIntyre,3.0,2.0,2.0,0,21.0
1,2,Trista Sutter,4.0,4.0,4.0,0,19.0
1,2,Kelly Monaco,5.0,6.0,5.0,0,17.0
1,2,Evander Holyfield,6.0,5.0,6.0,1,14.0
1,3,Rachel Hunter,1.0,2.0,1.0,0,26.0
1,3,John O'Hurley,2.0,1.0,1.0,0,24.0
1,3,Joey McIntyre,3.0,3.0,3.0,0,22.0
1,3,Kelly Monaco,4.0,4.0,4.0,0,21.0
1,3,Evander Holyfield,5.0,5.0,5.0,1,13.0
1,4,Rachel Hunter,2.0,1.0,1.0,0,25.0
1,4,Kelly Monaco,1.0,4.0,2.0,0,26.0
1,4,John O'Hurley,3.0,2.0,2.0,0,21.0
1,4,Joey McIntyre,4.0,3.0,4.0,1,20.0
1,5,John O'Hurley,1.0,2.0,1.0,0,27.0
1,5,Kelly Monaco,2.0,3.0,3.0,0,23.5
1,5,Joey McIntyre,3.0,1.0,3.0,1,22.5
1,6,Kelly Monaco,1.0,2.0,1.0,0,27.5
1,6,John O'Hurley,2.0,1.0,2.0,1,27.0
2,1,Giselle Fernandez,2.0,2.0,1.0,0,23.0
2,1,Tatum O'Neal,2.0,2.0,1.0,0,23.0
2,1,Drew Lachey,1.0,4.0,3.0,0,24.0
2,1,Stacy Keibler,4.0,1.0,3.0,0,22.0
2,1,Jerry Rice,5.0,7.0,5.0,0,21.0
2,1,Tia Carrere,6.0,6.0,5.0,0,20.0
2,1,Lisa Rinna,7.0,5.0,5.0,0,19.0
2,1,George Hamilton,8.0,8.0,8.0,0,18.0
