season,week,celebrity_name,judge_rank,audience_share_rank,final_rank,pred_eliminated,survival_prob
1,1,Joey McIntyre,1.0,1.0,1.0,0,0.9450053867872137
1,1,John O'Hurley,1.0,1.0,1.0,0,0.9450053867872137
1,1,Rachel Hunter,1.0,1.0,1.0,0,0.9450053867872137
1,1,Evander Holyfield,4.0,4.0,4.0,0,0.8948746608314487
1,1,Trista Sutter,4.0,6.0,5.0,0,0.8583156500862922
1,1,Kelly Monaco,6.0,5.0,6.0,0,0.747844521881782
1,2,John O'Hurley,1.0,4.0,1.0,0,0.984274928815205
1,2,Joey McIntyre,3.0,1.0,2.0,0,0.9355700073716409
1,2,Rachel Hunter,2.0,5.0,3.0,0,0.9260193333179554
1,2,Trista Sutter,4.0,3.0,4.0,0,0.8467921874639384
1,2,Kelly Monaco,5.0,6.0,5.0,0,0.7495795296049679
1,2,Evander Holyfield,6.0,2.0,6.0,1,0.7410624532973485
1,3,Rachel Hunter,1.0,3.0,1.0,0,0.9694365049239281
1,3,John O'Hurley,2.0,1.0,2.0,0,0.9573123538226231
1,3,Joey McIntyre,3.0,2.0,3.0,0,0.9150498702581196
1,3,Kelly Monaco,4.0,5.0,4.0,0,0.7714292547618467
1,3,Evander Holyfield,5.0,4.0,5.0,1,0.6781533016636314
1,4,Rachel Hunter,2.0,2.0,1.0,0,0.9053488884534776
1,4,John O'Hurley,3.0,1.0,2.0,0,0.8529336707415855
1,4,Kelly Monaco,1.0,4.0,3.0,0,0.7959068111375295
1,4,Joey McIntyre,4.0,3.0,4.0,1,0.779394438833277
1,5,John O'Hurley,1.0,1.0,1.0,0,0.835021468937599
1,5,Joey McIntyre,3.0,2.0,2.0,0,0.7404465762586246
1,5,Kelly Monaco,2.0,3.0,3.0,1,0.7207617195543013
1,6,Kelly Monaco,1.0,2.0,1.0,0,0.2644136501182529
1,6,John O'Hurley,2.0,1.0,2.0,1,0.2643530741601565
2,1,Drew Lachey,1.0,10.0,1.0,0,1.0
2,1,Giselle Fernandez,2.0,5.0,1.0,0,1.0
2,1,Tatum O'Neal,2.0,5.0,1.0,0,1.0
2,1,Stacy Keibler,4.0,2.0,1.0,0,1.0
2,1,Jerry Rice,5.0,7.0,5.0,0,0.9448826992977069
2,1,Tia Carrere,6.0,3.0,6.0,0,0.939611206043413
2,1,Lisa Rinna,7.0,1.0,7.0,0,0.934339712789119
2,1,George Hamilton,8.0,8.0,8.0,0,0.8641468647201656
2,1,Kenny Mayne,9.0,4.0,9.0,0,0.7680997133525131
2,1,Master P,10.0,9.0,10.0,1,0.7206135107081741
2,2,Stacy Keibler,1.0,8.0,1.0,0,1.0
2,2,Drew Lachey,2.0,6.0,1.0,0,1.0
2,2,Giselle Fernandez,3.0,4.0,3.0,0,0.9752001467620758
2,2,Jerry Rice,4.0,3.0,4.0,0,0.9628329284637877
