season,week,celebrity_name,judge_rank,audience_share_rank,judge_share,audience_share,rank_diff_share,rank_direction_share,survival_prob
29,2,Skai Jackson,14.0,1.0,0.05494505494503482,0.07714891531067732,13.0,13.0,0.9014021738812216
16,2,Dorothy Hamill,12.0,1.0,0.061475409836040384,0.09493663183771472,11.0,11.0,0.8667830449821539
20,2,Chris Soules,12.0,1.0,0.060518731988455185,0.09012169120747454,11.0,11.0,0.8463520741732264
9,1,Ashley Hamiliton,15.0,6.0,0.04679796767670839,0.06417331101379711,9.0,9.0,0.8528806997134706
9,1,Chuck Liddell,10.0,1.0,0.05418740566463952,0.07337255065541826,9.0,9.0,0.9803746166167506
9,1,Debi Mazar,10.0,1.0,0.05418740566463952,0.07337255065541826,9.0,9.0,0.9803746166167506
9,1,Kathy Ireland,12.0,3.0,0.049261031570555634,0.0714342608066458,9.0,9.0,0.9276155653019336
9,1,Macy Gray,15.0,6.0,0.04679796767670839,0.06417331101379711,9.0,9.0,0.8528806997134706
9,1,Tom DeLay,12.0,3.0,0.049261031570555634,0.0714342608066458,9.0,9.0,0.9276155653019336
29,2,Monica Aldama,12.0,3.0,0.058608058608037146,0.07071668523086531,9.0,9.0,0.882505121221003
29,3,Justina Machado,10.0,1.0,0.06761565836296526,0.08470135996622333,9.0,9.0,0.9813577870944223
30,1,Martin Kove,15.0,6.0,0.035519125683050407,0.06647452320770983,9.0,9.0,0.7165497149346454
30,2,Kenya Moore,10.0,1.0,0.06233766233764615,0.07233603214315278,9.0,9.0,0.9459117696609407
31,1,Cheryl Ladd,10.0,1.0,0.05497382198951441,0.06753320739848948,9.0,9.0,0.9034961307248262
31,1,Trevor Donovan,10.0,1.0,0.05497382198951441,0.06753320739848948,9.0,9.0,0.9034961307248262
31,3,Trevor Donovan,10.0,1.0,0.06699751861040522,0.08073325169192136,9.0,9.0,0.9193716350901389
8,3,Denise Richards,10.0,2.0,0.06299212598422717,0.09093685793317863,8.0,8.0,0.8339821961086931
8,3,Holly Madison,9.0,1.0,0.06692913385824137,0.09188546501332887,8.0,8.0,0.8604522980034148
14,2,Gladys Knight,11.0,3.0,0.0706319702601968,0.08990124105569226,8.0,8.0,0.8960716628014764
17,2,"Nicole ""Snooki"" Polizzi",9.0,1.0,0.07518796992478377,0.09784177514447737,8.0,8.0,0.9558301276768149
21,1,Gary Busey,9.0,1.0,0.059999999999976,0.08333920683365198,8.0,8.0,0.8631192005136417
21,1,Paula Deen,9.0,1.0,0.059999999999976,0.08333920683365198,8.0,8.0,0.8631192005136417
21,1,Victor Espinoza,9.0,1.0,0.059999999999976,0.08333920683365198,8.0,8.0,0.8631192005136417
2,2,Tatum O'Neal,8.0,1.0,0.0849999999999575,0.12739019932705448,7.0,7.0,0.8755698089743502
3,1,Tucker Carlson,11.0,4.0,0.05660377358487896,0.09476089188417962,7.0,7.0,0.7666546818530774
8,4,Lawrence Taylor,8.0,1.0,0.07851239669418243,0.10458468137311289,7.0,7.0,0.8954970123479331
9,4,Aaron Carter,8.0,1.0,0.07438016528922546,0.09991313640336767,7.0,7.0,0.8571500582691257
11,2,Michael Bolton,11.0,4.0,0.05429864253391208,0.09575122574437035,7.0,7.0,0.7522236745055881
22,2,Antonio Brown,9.0,2.0,0.08050847457623708,0.0910474458718332,7.0,7.0,0.9599557708753874
27,2,Bobby Bones,10.0,3.0,0.07208872458407686,0.08719722671489524,7.0,7.0,0.8784440719793831
29,3,Anne Heche,13.0,6.0,0.05338078291813047,0.07405717062194306,7.0,7.0,0.8210653638688983
31,4,Daniel Durant,9.0,2.0,0.07073170731705593,0.08580071893979765,7.0,7.0,0.9188429229615964
32,2,Adrian Peterson,10.0,3.0,0.06302521008400713,0.08200116733148574,7.0,7.0,0.8502441609079077
32,2,Mauricio Umansky,13.0,6.0,0.05042016806720571,0.07864163901710387,7.0,7.0,0.7566488926024446
33,3,Dwight Howard ,9.0,2.0,0.08176100628928247,0.10002021448603406,7.0,7.0,0.8809235752808432
34,3,Jen Affleck,10.0,3.0,0.0739299610894654,0.08983697627459938,7.0,7.0,0.8897217579419504
34,4,Robert Irwin,8.0,1.0,0.08870967741931907,0.1058553322604183,7.0,7.0,0.9653162027903216
2,1,Lisa Rinna,7.0,1.0,0.09743589743584748,0.10630830568451298,6.0,6.0,0.934339712789119
3,1,Shanna Moakler,7.0,1.0,0.08490566037731845,0.10017739679578455,6.0,6.0,0.9374366988091927
3,2,Mario Lopez,7.0,1.0,0.09130434782604727,0.11925816838224804,6.0,6.0,0.9686191102643548
4,2,Shandi Finnessey,10.0,4.0,0.08163265306119118,0.09406125600571029,6.0,6.0,0.8902628776539081
6,2,Cristian de la Fuente,8.0,2.0,0.07782101167312147,0.09163794162345196,6.0,6.0,0.937742117722195
6,2,Steve Guttenberg,11.0,5.0,0.06225680933849718,0.08571486000487599,6.0,6.0,0.8188370332372075
7,2,Lance Bass,7.0,1.0,0.09049773755652014,0.10069836102795798,6.0,6.0,0.9372732261255355
8,1,Belinda Carlisle,9.0,3.0,0.06995884773659673,0.0801561793277223,6.0,6.0,0.8885148276093664
8,1,Steve-O,9.0,3.0,0.06995884773659673,0.0801561793277223,6.0,6.0,0.8885148276093664
8,2,David Alan Grier,11.0,5.0,0.06415094339620221,0.08187024574296971,6.0,6.0,0.8837211385469577
8,2,Steve-O,13.0,7.0,0.05283018867922535,0.07942938463393877,6.0,6.0,0.8004357545710077
9,1,Michael Irvin,14.0,8.0,0.04679821398309777,0.06383143685550073,6.0,6.0,0.8502550851867867
9,2,Kelly Osbourne,9.0,3.0,0.06462585034011407,0.07903598199716594,6.0,6.0,0.9169844357179637
9,5,Melissa Joan Hart,7.0,1.0,0.09504132231401032,0.11277430854618394,6.0,6.0,0.9197378182735083
11,1,Michael Bolton,9.0,3.0,0.0704845814977663,0.08763428524716575,6.0,6.0,0.86290504209888
12,3,Romeo,8.0,2.0,0.09345794392518998,0.10901501252481392,6.0,6.0,0.9110759635755794
14,2,Jaleel White,7.0,1.0,0.08178438661706998,0.09736781513200872,6.0,6.0,1.0
15,2,Emmitt Smith,7.0,1.0,0.08152173913040525,0.09619843042196007,6.0,6.0,0.9686798890975676
18,2,Candace Cameron Bure,7.0,1.0,0.08606557377045654,0.09860999398606483,6.0,6.0,0.9502976219205667
19,3,Lea Thompson,7.0,1.0,0.08781869688382782,0.1042136838050761,6.0,6.0,0.9632480649379347
21,1,Chaka Khan,12.0,6.0,0.0519999999999792,0.07761619406893029,6.0,6.0,0.7804858717280168
21,4,Alexa PenaVega,8.0,2.0,0.08898305084741993,0.10697747352231685,6.0,6.0,0.890027912120245
23,2,Marilu Henner,7.0,1.0,0.07670454545452367,0.09024518232386337,6.0,6.0,0.9798616701066011
23,3,Babyface,8.0,2.0,0.07692307692305325,0.09344312583959183,6.0,6.0,0.9008517636566258
23,4,Babyface,11.0,5.0,0.06896551724135289,0.09157093790754364,6.0,6.0,0.8178420481063902
25,2,Nikki Bella,9.0,3.0,0.07129798903105254,0.08302885549707037,6.0,6.0,0.9134831472712216
29,4,Veron Davis,8.0,2.0,0.07308970099665346,0.0850526751887704,6.0,6.0,0.9493051476860251
31,5,Jordin Sparks,9.0,3.0,0.07915273132662673,0.0909750549853976,6.0,6.0,0.9358650991581579
32,1,Barry Williams,8.0,2.0,0.06926406926403929,0.07611387384222984,6.0,6.0,0.9069486458082793
2,1,Kenny Mayne,9.0,4.0,0.06666666666663248,0.10082687114638944,5.0,5.0,0.7680997133525131
3,1,Harry Hamlin,8.0,3.0,0.0801886792452452,0.09663556154790608,5.0,5.0,0.8956061948097422
5,3,Helio Castroneves,6.0,1.0,0.100418410041799,0.111601772423694,5.0,5.0,0.9708958353277316
5,5,Helio Castroneves,6.0,1.0,0.1155778894471781,0.13760174311871598,5.0,5.0,0.9048796118171358
6,1,Marissa Jaret Winokur,8.0,3.0,0.0740740740740436,0.08783892917514177,5.0,5.0,0.9020821298940297
6,1,Steve Guttenberg,8.0,3.0,0.0740740740740436,0.08783892917514177,5.0,5.0,0.9020821298940297
6,2,Priscilla Presley,6.0,1.0,0.08171206225677755,0.09835229771290062,5.0,5.0,0.996429701467156
6,3,Mario,6.0,1.0,0.09210526315785435,0.10977097767759088,5.0,5.0,0.9156284519530472
8,2,Chuck Wicks,6.0,1.0,0.07547169811317907,0.08544354774632294,5.0,5.0,0.9738600618096385
9,2,Joanna Krupa,7.0,2.0,0.0680272108843306,0.08063683972412719,5.0,5.0,0.9489132801724969
9,3,Debi Mazar,10.0,5.0,0.06589147286819151,0.08193604869849255,5.0,5.0,0.8675234743152638
9,3,Mark Dacascos,9.0,4.0,0.06976744186043808,0.0825134326664344,5.0,5.0,0.8936579057895776
10,1,Niecy Nash,6.0,1.0,0.0861244019138344,0.10086130146192489,5.0,5.0,0.9406955995829878
10,2,Chad Ochocinco,9.0,4.0,0.07272727272723967,0.09637130818284413,5.0,5.0,0.8337152647080768
10,2,Jake Pavelka,6.0,1.0,0.0909090909090496,0.10327182888329443,5.0,5.0,0.957379985537183
12,2,Chelsea Kane,7.0,2.0,0.08333333333329476,0.10079569906995109,5.0,5.0,0.9036416678021262
14,6,Maria Menounos,6.0,1.0,0.11627899765615014,0.151669787659422,5.0,5.0,0.9886540654384184
14,6,Roshon Fegan,7.0,2.0,0.10852665104125923,0.14073016380720185,5.0,5.0,0.9196860625732802
17,1,Brant Daugherty,6.0,1.0,0.08593749999996643,0.09061320098586018,5.0,5.0,0.9983397846280295
17,1,Christina Milian,6.0,1.0,0.08593749999996643,0.09061320098586018,5.0,5.0,0.9983397846280295
17,6,Corbin Bleu,6.0,1.0,0.11688308877255121,0.14568279852024585,5.0,5.0,0.9365217418141707
18,1,Cody Simpson,6.0,1.0,0.08396946564882292,0.09172277612166721,5.0,5.0,0.9883052237968968
18,1,Drew Carey,7.0,2.0,0.0801526717556946,0.08709788904937146,5.0,5.0,0.9408190211525578
18,1,James Maslow,7.0,2.0,0.0801526717556946,0.08709788904937146,5.0,5.0,0.9408190211525578
