season,week,celebrity_name,judge_rank,audience_rank,final_rank,pred_eliminated,survival_prob
1,1,Joey McIntyre,1.0,1.0,1.0,0,0.9450053574404901
1,1,John O'Hurley,1.0,1.0,1.0,0,0.9450053574404901
1,1,Rachel Hunter,1.0,1.0,1.0,0,0.9450053574404901
1,1,Evander Holyfield,4.0,4.0,4.0,0,0.894874634565634
1,1,Trista Sutter,4.0,5.0,5.0,0,0.8583156390088929
1,1,Kelly Monaco,6.0,6.0,6.0,0,0.747844525786072
1,2,John O'Hurley,1.0,1.0,1.0,0,0.9842748647376762
1,2,Rachel Hunter,2.0,3.0,2.0,0,0.9260193044994668
1,2,Joey McIntyre,3.0,2.0,2.0,0,0.9355699764679045
1,2,Trista Sutter,4.0,4.0,4.0,0,0.8467921765161751
1,2,Kelly Monaco,5.0,6.0,5.0,0,0.749579510204768
1,2,Evander Holyfield,6.0,5.0,5.0,1,0.7410624591749704
1,3,Rachel Hunter,1.0,2.0,1.0,0,0.9694364510782674
1,3,John O'Hurley,2.0,1.0,1.0,0,0.9573122997622449
1,3,Joey McIntyre,3.0,3.0,3.0,0,0.9150498349161935
1,3,Kelly Monaco,4.0,4.0,4.0,0,0.7714292136649719
1,3,Evander Holyfield,5.0,5.0,5.0,1,0.6781533068316548
1,4,Rachel Hunter,2.0,1.0,1.0,0,0.9053488512929949
1,4,Kelly Monaco,1.0,4.0,2.0,0,0.7959067609172222
1,4,John O'Hurley,3.0,2.0,2.0,0,0.852933640566407
1,4,Joey McIntyre,4.0,3.0,4.0,1,0.7793944218931035
1,5,John O'Hurley,1.0,2.0,1.0,0,0.8350214387404242
1,5,Joey McIntyre,3.0,1.0,2.0,0,0.7404465414140828
1,5,Kelly Monaco,2.0,3.0,3.0,1,0.7207616855950996
1,6,Kelly Monaco,1.0,2.0,1.0,0,0.26441358659601133
1,6,John O'Hurley,2.0,1.0,1.0,1,0.2643530411195576
2,1,Giselle Fernandez,2.0,2.0,1.0,0,1.0
2,1,Tatum O'Neal,2.0,2.0,1.0,0,1.0
2,1,Drew Lachey,1.0,4.0,3.0,0,1.0
2,1,Stacy Keibler,4.0,1.0,3.0,0,1.0
2,1,Jerry Rice,5.0,7.0,5.0,0,0.9448826904805375
2,1,Tia Carrere,6.0,6.0,5.0,0,0.9396111932073525
2,1,Lisa Rinna,7.0,5.0,5.0,0,0.9343396959341674
2,1,George Hamilton,8.0,8.0,8.0,0,0.8641468549650151
2,1,Kenny Mayne,9.0,9.0,9.0,0,0.7680997337674677
2,1,Master P,10.0,10.0,10.0,1,0.7206135446423089
2,2,Stacy Keibler,1.0,2.0,1.0,0,1.0
2,2,Drew Lachey,2.0,1.0,1.0,0,1.0
2,2,Giselle Fernandez,3.0,3.0,3.0,0,0.9752001420327362
2,2,Jerry Rice,4.0,4.0,4.0,0,0.9628329187525444
2,2,Tia Carrere,5.0,5.0,5.0,0,0.9531576195135616
2,2,George Hamilton,5.0,6.0,6.0,0,0.9174974720945088
2,2,Lisa Rinna,7.0,8.0,7.0,0,0.8381750892297738
2,2,Tatum O'Neal,8.0,7.0,7.0,0,0.8755698088482378
2,2,Master P,9.0,9.0,9.0,1,0.7224841801418485
2,3,Drew Lachey,1.0,2.0,1.0,0,1.0
2,3,Stacy Keibler,1.0,2.0,1.0,0,1.0
2,3,Tia Carrere,3.0,1.0,3.0,0,1.0
2,3,Lisa Rinna,4.0,5.0,4.0,0,0.9405212416628927
2,3,Giselle Fernandez,5.0,4.0,4.0,0,0.9518413407815706
2,3,George Hamilton,5.0,6.0,6.0,0,0.9067322992567639
2,3,Jerry Rice,7.0,7.0,7.0,0,0.847936609094403
2,3,Master P,8.0,8.0,8.0,1,0.6753583216365698
2,4,Stacy Keibler,2.0,2.0,1.0,0,1.0
2,4,Drew Lachey,1.0,4.0,2.0,0,1.0
2,4,Lisa Rinna,2.0,3.0,2.0,0,0.9878622348556587
2,4,Tia Carrere,4.0,1.0,2.0,0,0.9906061530418588
2,4,Jerry Rice,5.0,5.0,5.0,0,0.8837170087670677
2,4,George Hamilton,6.0,6.0,6.0,0,0.8135606299431302
2,4,Master P,7.0,7.0,7.0,1,0.5604409941542317
2,5,Stacy Keibler,1.0,1.0,1.0,0,0.9696432867218698
2,5,Drew Lachey,2.0,3.0,2.0,0,0.9099615430170028
2,5,Lisa Rinna,3.0,2.0,2.0,0,0.8966715284123933
2,5,George Hamilton,4.0,6.0,4.0,1,0.7730214476664912
2,5,Jerry Rice,5.0,5.0,4.0,0,0.7579930252812812
2,5,Tia Carrere,6.0,4.0,4.0,0,0.8069577583873996
