season,week,n_eliminated,hit_at_2,hit_at_3,boundary_margin
1,2,1,0.0,1.0,0.008517051029797607
1,3,1,1.0,1.0,0.0932759068333171
1,4,1,0.0,0.0,0.016512339024118833
1,5,1,1.0,1.0,0.01968485581898327
1,6,1,1.0,1.0,6.054547645373276e-05
2,1,1,1.0,1.0,0.047486189125158756
2,2,1,0.0,1.0,0.1156909090879254
2,3,1,0.0,0.0,0.17257828745783318
2,4,1,1.0,1.0,0.25311963578889857
2,5,1,0.0,1.0,0.015028422385210016
2,6,1,1.0,1.0,0.011768700187223702
2,7,1,1.0,1.0,0.21761941277117494
2,8,2,0.5,1.0,0.017069882716370888
3,1,1,1.0,1.0,0.01692816182624135
3,2,1,0.0,0.0,0.09026359894837865
3,3,1,0.0,1.0,0.13953972416418592
3,4,1,0.0,0.0,0.09291279370514471
3,5,2,0.5,0.5,0.13869547229793983
3,7,1,1.0,1.0,0.27300655479426483
3,8,1,1.0,1.0,0.11647083231048877
3,9,1,0.0,1.0,0.03551342250686723
3,10,1,1.0,1.0,0.03605405203440615
4,2,1,0.0,0.0,0.14832694388353912
4,3,1,0.0,1.0,0.16623870549056186
4,4,1,0.0,1.0,0.116060431691897
4,5,1,1.0,1.0,0.19095623246252913
4,6,1,0.0,0.0,0.040639332617457224
4,7,1,1.0,1.0,0.01283595229904233
4,8,1,1.0,1.0,0.20949932624034656
4,9,1,1.0,1.0,0.10728083333260857
4,10,2,1.0,1.0,0.01599860158897326
5,1,1,1.0,1.0,0.0188256543650904
5,2,1,0.0,1.0,0.16869870338873943
5,3,1,1.0,1.0,0.13737561296256037
5,4,1,1.0,1.0,0.0441337276608291
5,5,1,1.0,1.0,0.1399110477130816
5,6,1,0.0,0.0,0.05119888509212811
5,7,1,1.0,1.0,0.003965519570135578
5,8,1,1.0,1.0,0.09477310707192543
5,9,1,1.0,1.0,0.14400678931455113
5,10,2,0.5,1.0,0.010058594976225743
6,2,2,1.0,1.0,0.035937284947163306
6,3,1,1.0,1.0,0.015105331057419569
6,4,1,1.0,1.0,0.0975374636591651
6,5,1,1.0,1.0,0.05940351967570878
6,6,1,1.0,1.0,0.13664248999996054
6,7,1,0.0,1.0,0.06778003805700333
6,8,1,0.0,0.0,0.06523712799860648
6,9,1,1.0,1.0,0.09654244488982366
6,10,2,1.0,1.0,0.05762390775247617
7,1,2,0.5,0.5,0.022602248782131157
7,2,2,0.0,0.5,0.06911806794016173
7,4,1,1.0,1.0,0.16200246543812968
7,5,1,0.0,0.0,0.13142613320255758
7,6,1,1.0,1.0,0.1905618669557464
7,7,1,0.0,0.0,0.032774535930610416
7,8,1,1.0,1.0,0.053773904310217224
