season,week,divergence
28,6,3.2222222222222223
29,7,3.2
29,2,3.0
9,1,3.0
18,7,2.857142857142857
34,10,2.6666666666666665
30,8,2.625
23,10,2.6
34,11,2.6
30,6,2.6
33,9,2.6
29,9,2.5714285714285716
22,8,2.5
15,6,2.5
32,11,2.4
28,7,2.375
29,3,2.357142857142857
23,9,2.3333333333333335
18,8,2.3333333333333335
22,2,2.3333333333333335
17,5,2.3333333333333335
34,4,2.272727272727273
21,11,2.25
25,10,2.25
4,9,2.25
21,7,2.25
27,9,2.25
29,11,2.25
16,10,2.25
15,5,2.25
30,10,2.25
31,2,2.2
17,3,2.1818181818181817
21,9,2.1666666666666665
