season,week,k,n_contestants,jac_fan_vs_percentage,jac_fan_vs_ranking
1,1,1,6,1.0,1.0
1,1,2,6,1.0,1.0
1,1,3,6,1.0,1.0
1,1,4,6,1.0,1.0
1,1,5,6,0.6666666666666666,1.0
1,2,1,6,0.0,1.0
1,2,2,6,1.0,1.0
1,2,3,6,0.5,1.0
1,2,4,6,0.6,1.0
1,2,5,6,1.0,1.0
1,3,1,5,1.0,1.0
1,3,2,5,0.3333333333333333,1.0
1,3,3,5,1.0,1.0
1,3,4,5,0.6,1.0
1,3,5,5,1.0,1.0
1,4,1,4,0.0,1.0
1,4,2,4,1.0,1.0
1,4,3,4,1.0,0.5
1,4,4,4,1.0,1.0
1,5,1,3,0.0,0.0
1,5,2,3,1.0,1.0
1,5,3,3,1.0,1.0
1,6,1,2,1.0,1.0
1,6,2,2,1.0,1.0
2,1,1,10,0.0,0.0
2,1,2,10,0.3333333333333333,0.3333333333333333
2,1,3,10,0.2,0.5
2,1,4,10,0.3333333333333333,1.0
2,1,5,10,0.6666666666666666,0.6666666666666666
2,2,1,9,0.0,1.0
2,2,2,9,0.0,1.0
2,2,3,9,0.0,1.0
2,2,4,9,0.3333333333333333,1.0
2,2,5,9,0.42857142857142855,1.0
2,3,1,8,0.0,0.0
2,3,2,8,0.3333333333333333,0.3333333333333333
2,3,3,8,0.5,1.0
2,3,4,8,1.0,1.0
2,3,5,8,0.6666666666666666,1.0
2,4,1,7,1.0,0.0
2,4,2,7,1.0,0.3333333333333333
2,4,3,7,1.0,0.5
2,4,4,7,1.0,1.0
2,4,5,7,1.0,1.0
2,5,1,6,1.0,1.0
2,5,2,6,1.0,0.3333333333333333
2,5,3,6,1.0,1.0
2,5,4,6,1.0,0.6
2,5,5,6,0.6666666666666666,0.6666666666666666
2,6,1,5,1.0,1.0
2,6,2,5,1.0,1.0
2,6,3,5,1.0,1.0
2,6,4,5,1.0,1.0
2,6,5,5,1.0,1.0
2,7,1,4,1.0,1.0
2,7,2,4,0.3333333333333333,0.3333333333333333
2,7,3,4,1.0,1.0
2,7,4,4,1.0,1.0
2,8,1,3,1.0,1.0
2,8,2,3,0.3333333333333333,0.3333333333333333
2,8,3,3,1.0,1.0
3,1,1,11,0.0,1.0
3,1,2,11,0.0,1.0
3,1,3,11,0.2,1.0
3,1,4,11,0.3333333333333333,1.0
3,1,5,11,0.25,1.0
3,2,1,10,1.0,0.0
3,2,2,10,0.3333333333333333,0.3333333333333333
3,2,3,10,0.2,0.5
3,2,4,10,0.6,0.6
3,2,5,10,0.6666666666666666,1.0
3,3,1,9,0.0,1.0
3,3,2,9,0.3333333333333333,0.3333333333333333
3,3,3,9,0.5,1.0
3,3,4,9,0.6,1.0
3,3,5,9,0.42857142857142855,1.0
3,4,1,8,1.0,0.0
3,4,2,8,0.3333333333333333,1.0
3,4,3,8,0.5,1.0
3,4,4,8,0.6,1.0
3,4,5,8,1.0,1.0
3,5,1,7,0.0,0.0
3,5,2,7,0.3333333333333333,0.3333333333333333
3,5,3,7,0.5,0.5
3,5,4,7,1.0,0.6
3,5,5,7,1.0,1.0
3,6,1,5,1.0,1.0
3,6,2,5,0.3333333333333333,0.3333333333333333
3,6,3,5,1.0,0.5
3,6,4,5,1.0,1.0
3,6,5,5,1.0,1.0
3,7,1,5,0.0,0.0
3,7,2,5,1.0,1.0
3,7,3,5,0.5,0.5
3,7,4,5,1.0,1.0
3,7,5,5,1.0,1.0
3,8,1,4,0.0,1.0
3,8,2,4,1.0,1.0
3,8,3,4,1.0,1.0
3,8,4,4,1.0,1.0
3,9,1,3,1.0,1.0
3,9,2,3,1.0,1.0
3,9,3,3,1.0,1.0
3,10,1,2,1.0,1.0
3,10,2,2,1.0,1.0
4,1,1,11,0.0,0.0
4,1,2,11,0.0,1.0
4,1,3,11,0.2,1.0
4,1,4,11,0.3333333333333333,1.0
4,1,5,11,0.42857142857142855,1.0
4,2,1,11,1.0,1.0
4,2,2,11,1.0,1.0
4,2,3,11,0.5,1.0
4,2,4,11,0.6,1.0
4,2,5,11,0.6666666666666666,1.0
4,3,1,10,1.0,1.0
4,3,2,10,1.0,1.0
4,3,3,10,0.5,0.5
4,3,4,10,0.6,0.6
4,3,5,10,1.0,1.0
4,4,1,9,0.0,1.0
4,4,2,9,0.3333333333333333,0.3333333333333333
4,4,3,9,1.0,0.5
4,4,4,9,0.6,1.0
4,4,5,9,1.0,1.0
4,5,1,8,0.0,1.0
4,5,2,8,1.0,0.3333333333333333
4,5,3,8,0.5,1.0
4,5,4,8,0.6,1.0
4,5,5,8,1.0,1.0
4,6,1,7,1.0,1.0
4,6,2,7,1.0,1.0
4,6,3,7,1.0,0.5
4,6,4,7,1.0,1.0
4,6,5,7,1.0,1.0
4,7,1,6,1.0,1.0
4,7,2,6,1.0,1.0
4,7,3,6,0.5,0.5
4,7,4,6,1.0,1.0
4,7,5,6,1.0,1.0
4,8,1,5,1.0,1.0
4,8,2,5,1.0,0.3333333333333333
4,8,3,5,1.0,1.0
4,8,4,5,1.0,1.0
4,8,5,5,1.0,1.0
4,9,1,4,1.0,1.0
4,9,2,4,0.3333333333333333,0.3333333333333333
4,9,3,4,0.5,0.5
4,9,4,4,1.0,1.0
4,10,1,3,0.0,0.0
4,10,2,3,0.3333333333333333,0.3333333333333333
4,10,3,3,1.0,1.0
5,1,1,12,0.0,1.0
5,1,2,12,0.0,1.0
5,1,3,12,0.0,1.0
5,1,4,12,0.0,1.0
5,1,5,12,0.1111111111111111,1.0
5,2,1,11,0.0,1.0
5,2,2,11,0.3333333333333333,0.3333333333333333
5,2,3,11,0.5,0.5
5,2,4,11,0.3333333333333333,1.0
5,2,5,11,0.42857142857142855,1.0
5,3,1,10,0.0,0.0
5,3,2,10,1.0,0.3333333333333333
5,3,3,10,0.5,0.2
5,3,4,10,0.6,0.3333333333333333
5,3,5,10,0.6666666666666666,0.6666666666666666
5,4,1,9,0.0,1.0
5,4,2,9,0.3333333333333333,1.0
5,4,3,9,0.5,0.5
5,4,4,9,0.6,1.0
5,4,5,9,1.0,0.6666666666666666
5,5,1,8,1.0,1.0
