season,celebrity_name,n_weeks_participated,placement,low_judge_safe_weeks,low_judge_safe_pct,low_judge_went_far
1,Evander Holyfield,3,5,1,0.3333333333333333,False
1,Joey McIntyre,5,3,1,0.2,False
1,John O'Hurley,6,2,1,0.16666666666666666,False
1,Kelly Monaco,6,1,5,0.8333333333333334,True
1,Rachel Hunter,4,4,0,0.0,False
1,Trista Sutter,2,6,0,0.0,False
2,Drew Lachey,8,1,0,0.0,False
2,George Hamilton,6,5,1,0.16666666666666666,False
2,Giselle Fernandez,3,8,0,0.0,False
2,Jerry Rice,8,2,4,0.5,True
2,Kenny Mayne,1,10,0,0.0,False
2,Lisa Rinna,7,4,1,0.14285714285714285,False
2,Master P,4,7,3,0.75,False
2,Stacy Keibler,8,3,0,0.0,False
2,Tatum O'Neal,2,9,0,0.0,False
2,Tia Carrere,5,6,0,0.0,False
3,Emmitt Smith,10,1,3,0.3,False
3,Harry Hamlin,3,9,0,0.0,False
3,Jerry Springer,7,5,5,0.7142857142857143,True
3,Joey Lawrence,9,3,1,0.1111111111111111,False
3,Mario Lopez,10,2,1,0.1,False
3,Monique Coleman,8,4,2,0.25,False
3,Sara Evans,5,6,2,0.4,False
3,Shanna Moakler,2,10,0,0.0,False
3,Tucker Carlson,1,11,0,0.0,False
3,Vivica A. Fox,4,8,0,0.0,False
3,Willa Ford,5,7,0,0.0,False
4,Apolo Anton Ohno,10,1,1,0.1,False
4,Billy Ray Cyrus,8,5,4,0.5,True
4,Clyde Drexler,5,8,3,0.6,False
4,Heather Mills,6,7,0,0.0,False
4,Ian Ziering,9,4,1,0.1111111111111111,False
4,Joey Fatone,10,2,0,0.0,False
4,John Ratzenberger,7,6,2,0.2857142857142857,False
4,Laila Ali,10,3,0,0.0,False
4,Leeza Gibbons,4,9,1,0.25,False
4,Paulina Porizkova,2,11,0,0.0,False
4,Shandi Finnessey,3,10,1,0.3333333333333333,False
5,Albert Reed,2,11,0,0.0,False
5,Cameron Mathison,8,5,1,0.125,False
5,Floyd Mayweather Jr. ,4,9,1,0.25,False
5,Helio Castroneves,10,1,2,0.2,False
5,Jane Seymour,7,6,1,0.14285714285714285,False
5,Jennie Garth,9,4,1,0.1111111111111111,False
5,Josie Maran,1,12,0,0.0,False
5,Marie Osmond,10,3,4,0.4,True
5,Mark Cuban,5,8,3,0.6,False
5,Mel B,10,2,0,0.0,False
5,Sabrina Bryan,6,7,0,0.0,False
5,Wayne Newton,3,10,1,0.3333333333333333,False
6,Adam Carolla,4,9,1,0.25,False
6,Cristian de la Fuente,10,3,1,0.1,False
6,Jason Taylor,10,2,2,0.2,False
6,Kristi Yamaguchi,10,1,0,0.0,False
6,Mario,8,5,0,0.0,False
6,Marissa Jaret Winokur,9,4,2,0.2222222222222222,False
6,Marlee Matlin,6,7,1,0.16666666666666666,False
6,Monica Seles,2,11,1,0.5,False
6,Penn Jillette,2,12,1,0.5,False
6,Priscilla Presley,5,8,1,0.2,False
6,Shannon Elizabeth,7,6,0,0.0,False
6,Steve Guttenberg,3,10,1,0.3333333333333333,False
7,Brooke Burke,10,1,1,0.1,False
7,Cloris Leachman,6,7,4,0.6666666666666666,False
7,Cody Linley,9,4,2,0.2222222222222222,False
7,Jeffrey Ross,1,13,0,0.0,False
7,Kim Kardashian,2,11,0,0.0,False
7,Lance Bass,10,3,2,0.2,False
7,Maurice Greene,8,5,2,0.25,False
7,Misty May-Treanor,2,10,0,0.0,False
7,Rocco DiSpirito,4,9,2,0.5,False
7,Susan Lucci,7,6,0,0.0,False
7,Ted McGinley,1,12,0,0.0,False
7,Toni Braxton,5,8,0,0.0,False
7,Warren Sapp,10,2,1,0.1,False
8,Belinda Carlisle,2,13,0,0.0,False
8,Chuck Wicks,8,6,0,0.0,False
8,David Alan Grier,5,9,0,0.0,False
8,Denise Richards,3,12,0,0.0,False
8,Gilles Marini,11,2,0,0.0,False
8,Holly Madison,4,11,0,0.0,False
8,Lawrence Taylor,7,7,1,0.14285714285714285,False
8,Lil' Kim,9,5,0,0.0,False
8,Melissa Rycroft,11,3,2,0.18181818181818182,False
8,Shawn Johnson,11,1,0,0.0,False
8,Steve Wozniak,4,10,2,0.5,False
8,Steve-O,6,8,4,0.6666666666666666,False
8,Ty Murray,10,4,4,0.4,True
9,Aaron Carter,8,5,0,0.0,False
9,Ashley Hamiliton,1,16,0,0.0,False
9,Chuck Liddell,4,11,0,0.0,False
9,Debi Mazar,3,12,0,0.0,False
9,Donny Osmond,10,1,2,0.2,False
9,Joanna Krupa,9,4,0,0.0,False
9,Kathy Ireland,2,14,0,0.0,False
9,Kelly Osbourne,10,3,2,0.2,False
9,Louie Vito,6,8,1,0.16666666666666666,False
9,Macy Gray,1,15,0,0.0,False
9,Mark Dacascos,7,6,0,0.0,False
9,Melissa Joan Hart,6,9,0,0.0,False
9,Michael Irvin,7,7,5,0.7142857142857143,False
9,Mya,10,2,0,0.0,False
9,Natalie Coughlin,5,10,0,0.0,False
9,Tom DeLay,3,13,1,0.3333333333333333,False
10,Aiden Turner,4,9,1,0.25,False
10,Buzz Aldrin,3,10,2,0.6666666666666666,False
10,Chad Ochocinco,9,4,1,0.1111111111111111,False
10,Erin Andrews,10,3,1,0.1,False
10,Evan Lysacek,10,2,0,0.0,False
10,Jake Pavelka,6,7,0,0.0,False
10,Kate Gosselin,5,8,3,0.6,False
10,Nicole Scherzinger,10,1,0,0.0,False
10,Niecy Nash,8,5,2,0.25,False
