season,celebrity_name,placement,pred_final_rank_survival,pred_final_rank_pct,pred_final_rank_rank,pred_final_rank_new
1,Kelly Monaco,1,1,2,2,1
1,John O'Hurley,2,2,1,1,2
1,Joey McIntyre,3,3,3,3,3
1,Rachel Hunter,4,4,4,4,4
1,Evander Holyfield,5,5,5,5,5
1,Trista Sutter,6,6,6,6,6
2,Drew Lachey,1,1,2,2,2
2,Stacy Keibler,3,2,1,1,1
2,Jerry Rice,2,3,3,3,3
2,Lisa Rinna,4,4,4,4,4
2,George Hamilton,5,5,5,5,5
2,Tia Carrere,6,6,6,6,6
2,Master P,7,7,7,7,7
2,Giselle Fernandez,8,8,8,8,8
2,Tatum O'Neal,9,9,9,9,9
2,Kenny Mayne,10,10,10,10,10
3,Emmitt Smith,1,1,2,2,2
3,Mario Lopez,2,2,1,1,1
3,Joey Lawrence,3,3,3,3,3
3,Monique Coleman,4,4,4,4,4
3,Jerry Springer,5,5,5,5,5
3,Willa Ford,7,6,6,6,6
3,Sara Evans,6,7,7,7,7
3,Vivica A. Fox,8,8,8,8,8
3,Harry Hamlin,9,9,9,9,9
3,Shanna Moakler,10,10,10,10,10
3,Tucker Carlson,11,11,11,11,11
4,Apolo Anton Ohno,1,1,1,1,2
4,Joey Fatone,2,2,2,2,3
4,Laila Ali,3,3,3,3,1
4,Ian Ziering,4,4,4,4,4
4,Billy Ray Cyrus,5,5,5,5,5
4,John Ratzenberger,6,6,6,6,6
4,Heather Mills,7,7,7,7,7
4,Clyde Drexler,8,8,8,8,8
4,Leeza Gibbons,9,9,9,9,9
4,Shandi Finnessey,10,10,10,10,10
4,Paulina Porizkova,11,11,11,11,11
5,Mel B,2,1,1,2,3
5,Helio Castroneves,1,2,2,1,1
5,Marie Osmond,3,3,3,3,2
5,Jennie Garth,4,4,4,4,4
5,Cameron Mathison,5,5,5,5,5
5,Jane Seymour,6,6,6,6,6
5,Sabrina Bryan,7,7,7,7,7
5,Mark Cuban,8,8,8,8,8
5,Floyd Mayweather Jr. ,9,9,9,9,9
5,Wayne Newton,10,10,10,10,10
5,Albert Reed,11,11,11,11,11
5,Josie Maran,12,12,12,12,12
6,Kristi Yamaguchi,1,1,1,3,1
6,Jason Taylor,2,2,2,2,3
6,Cristian de la Fuente,3,3,3,1,2
6,Marissa Jaret Winokur,4,4,4,4,4
6,Mario,5,5,5,5,5
6,Shannon Elizabeth,6,6,6,6,6
6,Marlee Matlin,7,7,7,7,7
6,Priscilla Presley,8,8,8,8,8
6,Adam Carolla,9,9,9,9,9
6,Steve Guttenberg,10,10,10,10,10
6,Penn Jillette,12,11,11,11,12
6,Monica Seles,11,12,12,12,11
7,Brooke Burke,1,1,1,2,2
7,Lance Bass,3,2,3,3,3
7,Warren Sapp,2,3,2,1,1
7,Cody Linley,4,4,4,4,4
7,Maurice Greene,5,5,5,5,5
7,Susan Lucci,6,6,6,6,6
7,Cloris Leachman,7,7,7,7,7
7,Toni Braxton,8,8,8,8,8
7,Rocco DiSpirito,9,9,9,9,9
7,Misty May-Treanor,10,10,10,10,10
7,Kim Kardashian,11,11,11,11,11
7,Ted McGinley,12,12,12,12,12
7,Jeffrey Ross,13,13,13,13,13
8,Shawn Johnson,1,1,1,3,1
8,Gilles Marini,2,2,2,1,2
8,Melissa Rycroft,3,3,3,2,3
8,Ty Murray,4,4,4,4,4
8,Lil' Kim,5,5,5,5,5
8,Chuck Wicks,6,6,6,6,6
8,Lawrence Taylor,7,7,7,7,7
8,Steve-O,8,8,8,8,8
8,David Alan Grier,9,9,9,9,9
8,Holly Madison,11,10,10,10,10
8,Steve Wozniak,10,11,11,11,11
8,Denise Richards,12,12,12,12,12
8,Belinda Carlisle,13,13,13,13,13
9,Donny Osmond,1,1,3,1,2
9,Mya,2,2,1,3,1
9,Kelly Osbourne,3,3,2,2,3
9,Joanna Krupa,4,4,4,4,4
9,Aaron Carter,5,5,5,5,5
9,Michael Irvin,7,6,7,7,7
9,Mark Dacascos,6,7,6,6,6
9,Louie Vito,8,8,9,8,9
9,Melissa Joan Hart,9,9,8,9,8
9,Natalie Coughlin,10,10,10,10,10
9,Chuck Liddell,11,11,11,11,11
9,Debi Mazar,12,12,12,12,12
9,Tom DeLay,13,13,13,13,13
9,Kathy Ireland,14,14,14,14,14
9,Ashley Hamiliton,16,15,15,15,16
9,Macy Gray,15,16,16,16,15
10,Nicole Scherzinger,1,1,1,3,1
10,Erin Andrews,3,2,2,1,2
10,Evan Lysacek,2,3,3,2,3
10,Chad Ochocinco,4,4,4,4,4
10,Niecy Nash,5,5,5,5,5
10,Pamela Anderson,6,6,6,6,6
10,Jake Pavelka,7,7,7,7,7
10,Kate Gosselin,8,8,8,8,8
10,Aiden Turner,9,9,9,9,9
10,Buzz Aldrin,10,10,10,10,10
10,Shannen Doherty,11,11,11,11,11
11,Jennifer Grey,1,1,1,2,3
11,Kyle Massey,2,2,2,1,1
11,Bristol Palin,3,3,3,3,2
11,Brandy,4,4,4,4,4
11,Kurt Warner,5,5,5,5,5
11,Rick Fox,6,6,6,6,6
11,Audrina Patridge,7,7,7,7,7
11,Florence Henderson,8,8,8,8,8
11,The Situation,9,9,9,9,9
11,Margaret Cho,10,10,10,10,10
11,Michael Bolton,11,11,11,11,11
11,David Hasselhoff,12,12,12,12,12
12,Chelsea Kane,3,1,1,1,1
12,Hines Ward,1,2,2,2,2
12,Kirstie Alley,2,3,3,3,3
12,Ralph Macchio,4,4,4,4,4
12,Romeo,5,5,5,5,5
12,Kendra Wilkinson,6,6,6,6,6
12,Chris Jericho,7,7,7,7,7
12,Petra Nemcova,8,8,8,8,8
12,Sugar Ray Leonard,9,9,9,9,9
12,Wendy Williams,10,10,10,10,10
12,Mike Catherwood,11,11,11,11,11
13,Rob Kardashian,2,1,2,3,1
13,J.R. Martinez,1,2,1,1,2
13,Ricki Lake,3,3,3,2,3
13,Hope Solo,4,4,4,4,4
13,Nancy Grace,5,5,5,5,5
13,David Arquette,6,6,6,6,6
13,Chaz Bono,7,7,7,7,7
13,Carson Kressley,8,8,8,8,8
13,Chynna Phillips,9,9,9,9,9
13,Kristin Cavallari,10,10,10,10,10
13,Elisabetta Canalis,11,11,11,11,11
13,Metta World Peace (Ron),12,12,12,12,12
14,Katherine Jenkins,2,1,3,2,2
14,Donald Driver,1,2,1,1,1
14,William Levy,3,3,2,3,3
14,Maria Menounos,4,4,4,4,4
14,Roshon Fegan,6,5,5,5,5
14,Melissa Gilbert,5,6,6,6,6
14,Jaleel White,7,7,7,7,7
14,Gladys Knight,8,8,8,8,8
14,Gavin DeGraw,9,9,9,9,9
14,Sherri Sheperd,10,10,10,10,10
14,Jack Wagner,11,11,11,11,11
14,Martina Navratilova,12,12,12,12,12
15,Melissa Rycroft,1,1,1,1,1
15,Kelly Monaco,3,2,3,3,2
15,Shawn Johnson,2,3,2,2,3
15,Apolo Anton Ohno,5,4,4,4,4
15,Emmitt Smith,4,5,5,5,5
15,Gilles Marini,6,6,6,6,6
15,Kirstie Alley,7,7,7,7,7
15,Sabrina Bryan,8,8,8,8,8
15,Bristol Palin,9,9,9,9,9
15,Helio Castroneves,10,10,10,10,10
15,Drew Lachey,11,11,11,11,11
15,Joey Fatone,12,12,12,12,12
15,Pamela Anderson,13,13,13,13,13
16,Kellie Pickler,1,1,2,1,1
16,Zendaya,2,2,3,4,4
16,Alexandra Raisman,4,3,1,2,2
16,Jacoby Jones,3,4,4,3,3
16,Ingo Rademacher,5,5,5,5,5
16,Sean Lowe,6,6,6,6,6
16,Andy Dick,7,7,7,7,7
16,Victor Ortiz,8,8,8,8,8
16,D. L. Hughley,9,9,9,9,9
16,Lisa Vanderpump,10,10,10,10,10
16,Wynonna Judd,11,11,11,11,11
16,Dorothy Hamill,12,12,12,12,12
17,Amber Riley,1,1,2,3,2
17,Corbin Bleu,2,2,1,1,4
17,Jack Osbourne,3,3,3,2,1
17,Bill Engvall,4,4,4,4,3
17,Leah Remini,5,5,5,5,5
17,Elizabeth Berkley Lauren,6,6,6,6,6
17,Brant Daugherty,7,7,7,7,7
17,"Nicole ""Snooki"" Polizzi",8,8,8,8,8
17,Christina Milian,9,9,9,9,9
17,Valerie Harper,10,10,10,10,10
17,Bill Nye,11,11,11,11,11
17,Keyshawn Johnson,12,12,12,12,12
18,Meryl Davis,1,1,2,3,4
18,Amy Purdy,2,2,1,1,2
18,James Maslow,4,3,3,2,1
18,Candace Cameron Bure,3,4,4,4,3
18,Charlie White,5,5,5,5,5
18,Danica McKellar,6,6,6,6,6
18,NeNe Leakes,7,7,7,7,7
18,Drew Carey,8,8,8,8,8
18,Cody Simpson,9,9,9,9,9
18,Sean Avery,11,10,10,10,11
18,Billy Dee Williams,10,11,11,11,10
18,Diana Nyad,12,12,12,12,12
19,Alfonso Ribeiro,1,1,2,1,2
19,Sadie Robertson,2,2,3,4,1
19,Janel Parrish,3,3,1,3,4
19,Bethany Mota,4,4,4,2,3
19,Tommy Chong,5,5,5,5,5
