,coef,pvalue
age_30-39,1.3047755144518702,0.00812786878272398
age_40-49,2.9041770853894437,2.7189932239046755e-07
age_50+,4.059123153356311,2.5187407715066e-11
cty_Canada,-1.868524937476127,0.4008078287889969
cty_Czechoslovakia,1.6363370788183746,0.588658771015468
cty_England,-0.18404119590630494,0.9329022634379296
cty_Other_Country,0.668780924457523,0.7377561704131945
cty_United States,0.3018441720640466,0.8722314944651783
ind_Athlete,0.41641349482812917,0.42319690588246517
ind_Comedian,0.4434166096993792,0.6883783287668539
ind_Entrepreneur,0.5955052296266444,0.7457516404125712
ind_Model,3.053477577726302,0.0024191623879736834
ind_Other,0.6253833395057802,0.41712417358789633
ind_Singer/Rapper,0.438640012594232,0.44343166266272505
ind_Social Media Personality,-0.1415673250908229,0.9154978202707074
ind_TV Personality,0.3052236867893158,0.5851847944542818
pro_Alec Mazo,1.5532662416191536,0.458932353955646
pro_Allison Holker,-0.05817705737350297,0.9779772495052756
pro_Anna Trebunskaya,0.4591146325121608,0.783065043930522
pro_Artem Chigvintsev,-0.22479420767481992,0.8820493554985174
pro_Ashly DelGrosso,1.6016554489340973,0.47196098516476304
pro_Brandon Armstrong,2.1601047698052764,0.18742833368457545
pro_Britt Stewart,2.103153447648307,0.24663065527042516
pro_Chelsie Hightower,0.4945809383593003,0.7871712382929776
pro_Cheryl Burke,-1.7514290537224948,0.21326664841950427
pro_Corky Ballas,-2.0431012241615467,0.4689818749758099
pro_Daniella Karagach,-2.7145555039232656,0.15324338254486447
pro_Derek Hough,-4.100185247603853,0.0064646827912508975
pro_Dmitry Chaplin,-0.9801650695802073,0.6947717477267785
pro_Edyta Sliwinska,0.8400163752377546,0.6192005352906165
pro_Elena Grinenko,3.791313570029255,0.1794464186554563
pro_Emma Slater,-0.20102951029886168,0.8886939618066867
pro_Gleb Savchenko,1.093227332763266,0.45976325896733194
pro_Jenna Johnson,-0.4023965995044162,0.8006794717664567
pro_Jonathan Roberts,1.0924661440405479,0.5670659230241561
pro_Julianne Hough,-1.9605913380489368,0.33860579166559335
pro_Karina Smirnoff,-0.2553098430441429,0.8647224427399722
pro_Keo Motsepe,1.978925333190746,0.2303868801718627
pro_Koko Iwasaki,2.2797358601393016,0.402059662625462
pro_Kym Johnson,-1.8770373333167072,0.24077630885874246
pro_Lacey Schwimmer,-0.8436747194317703,0.6603836076343188
pro_Lindsay Arnold,-1.6719319790952054,0.2934055040155912
pro_Louis van Amstel,0.467017896732411,0.7776661077338858
pro_Maksim Chmerkoskiy,-0.8624596487823208,0.5666945139916124
pro_Mark Ballas,-0.8088546775635757,0.5711390362508533
pro_Nick Kosovich,2.551229364116224,0.36876036953085745
pro_Other_Partner,0.08196382943518676,0.9569405803392985
pro_Pasha Pashkov,2.0264737280645564,0.24334333218271498
pro_Peta Murgatroyd,0.39677886975683907,0.787318681034691
pro_Rylee Arnold,1.3321652645538724,0.5726050576147927
pro_Sasha Farber,-0.9695078915883694,0.5163759678977793
pro_Sharna Burgess,-0.6538458744946694,0.6633648657315963
pro_Tony Dovolani,-0.1368894509598545,0.9264118988853907
pro_Tristan MacManus,-0.002130571012654728,0.9991814913665154
pro_Valentin Chmerkovskiy,-1.3386797284797682,0.33787900645455116
pro_Witney Carson,-1.502684318454796,0.308861461848442
